species,sex,age,site_id,locality,elevation,elev_cat,lat,lon,tHbcorr,hct_final,heart,number_obs
Troglodytes aedon,male,juvenile,8,Chosica,994,low,-11.92503333,-76.6514,13,0.436860068,0.118,1
Phleocryptes melanops,male,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,13.1,0.41821112,0.144,15
Phleocryptes melanops,female,adult,23,Ondores,4060,high,-11.05496667,-76.15656667,13.1,0.539453485,0.16,23
Zonotrichia capensis,female,adult,2,Bosque Cachil,2550,mid,-7.403833333,-78.77603333,13.2,0.424018127,0.244,14
Phleocryptes melanops,female,adult,11,Estero Mantagua,8,low,-32.88493333,-71.50816667,13.3,0.406396256,0.15,15
Troglodytes aedon,male,juvenile,37,Yanaparin,723,low,-9.958633333,-77.80736667,13.5,0.44595901,0.12,2
Phleocryptes melanops,female,adult,25,Playa de Puerto Viejo,1,low,-12.57491667,-76.70346667,13.5,0.44459749,0.148,16
Zonotrichia capensis,female,adult,30,Quebrada,1500,mid,-12.6519,-72.3236,13.6,0.444398225,0.246,4
Troglodytes aedon,male,adult,33,Rio Santa,357,low,-8.69485,-78.37861,13.6,0.481246956,0.118,4
Troglodytes aedon,male,adult,2,Bosque Cachil,2500,mid,-7.398033333,-78.77826667,13.6,0.449261993,0.13,14
Tachuris rubrigastra,female,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,13.6,0.48800738,0.078,15
Phleocryptes melanops,male,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,13.7,0.436436885,0.158,15
Phleocryptes melanops,male,juvenile,29,Puerto Morin,0,low,-8.426666667,-78.90415,13.7,0.407428903,0.18,18
Troglodytes aedon,female,adult,21,Mal Paso,375,low,-10.00681667,-77.88163333,13.8,0.456567797,0.128,1
Troglodytes aedon,female,adult,2,Bosque Cachil,2550,mid,-7.403833333,-78.77978333,13.8,0.462462806,0.176,14
Tachuris rubrigastra,male,adult,11,Estero Mantagua,8,low,-32.88493333,-71.50816667,13.8,0.413933011,0.074,15
Phleocryptes melanops,male,juvenile,11,Estero Mantagua,8,low,-32.88493333,-71.50816667,13.8,0.41062755,0.156,15
Zonotrichia capensis,female,juvenile,15,Huayup,1060,mid,-9.90845,-77.82143333,13.9,0.455441577,0.228,2
Troglodytes aedon,male,adult,13,Huayaringa,982,low,-11.92448333,-76.65196667,14,0.421052632,0.088,1
Zonotrichia capensis,male,adult,7,Chontali,2520,mid,-5.58235,-79.15975,14,0.486044804,0.25,12
Phleocryptes melanops,male,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,14,0.433269651,0.146,15
